frame,time,elbow_l,elbow_r,shoulder_l,shoulder_r,stance,wrist_speed
0,0.0,161.69061255167466,67.94508281025405,35.779637343986195,24.729908195105576,68.51137571468027,0.0
1,0.03333333333333333,157.26417055654312,68.5218106639304,31.33684868727776,23.798405657116454,14.032581864833277,0.2372685058961897
2,0.06666666666666667,156.82065706827385,70.0361601299822,27.553377866645235,22.97065084897955,13.666175940598103,2.808824195733424
3,0.1,155.08897742993972,70.95189818915682,25.293582273943485,22.314383533371657,22.012703921729916,2.7924262151760733
4,0.13333333333333333,153.0708790345802,71.9598197258427,22.348285153364284,22.10709511892957,32.809702955198475,2.3963608863421912
5,0.16666666666666666,151.11507891915176,73.4254765952541,18.91454423814305,22.01607493992095,39.528738988352536,3.7501094602309895
6,0.2,153.0754623071509,74.9294219129871,17.14923032053066,21.774043692012476,43.379801180405586,4.879480955282453
7,0.23333333333333334,155.63019390809376,75.69280765658219,16.854965559852193,21.368621756221227,47.85778132956217,2.6753774624366162
8,0.26666666666666666,157.3984393193851,76.05980753595911,16.79919567696616,20.829624106415185,47.635093425443145,1.7812992039741269
9,0.3,159.24382808520224,75.59507469204404,16.876060074945357,20.930197083911303,47.05291120646428,1.4702012204966388
10,0.3333333333333333,160.94353883781827,75.09505715915371,16.797974557578073,21.016179440585216,50.70130349305411,1.6333907653735567
11,0.36666666666666664,161.93958423408344,74.61152820597422,16.620411650283366,21.614494841126437,49.29145897327388,1.8414013836267045
12,0.4,164.03866622341263,74.62800833361807,16.562507607916018,21.677426768781558,50.89134754489896,2.735975183446713
13,0.43333333333333335,165.3688731452432,74.90550509174585,16.57853791559208,21.330996906422804,51.9084225087855,2.73475592322848
14,0.4666666666666667,166.36593098572914,75.76646586408886,16.834299453563595,20.42907394471976,53.37970853595877,2.5759335817894233
15,0.5,167.52323641212755,76.769170567947,17.320543023846447,19.85194096222509,54.47807547290995,1.6842301338079102
16,0.5333333333333333,169.3714333484307,78.24319539081779,18.34402594725625,19.22096004370862,56.07772168030412,0.2868301540393685
17,0.5666666666666667,170.86003412303472,79.35800033942002,18.95997577665808,18.920687442174533,56.572164660286155,1.4416061690424253
